"","Density","Temperature","fit","se.fit"
"1",-8,10,20.0063051420099,0.052763122585993
"2",-7.97744360902256,10,20.0510117450701,0.0526401875001693
"3",-7.95488721804511,10,20.0958258168482,0.0525171860978901
"4",-7.93233082706767,10,20.1407282898898,0.0523941067061233
"5",-7.90977443609023,10,20.1856997505773,0.0522709374297926
"6",-7.88721804511278,10,20.2307204356621,0.0521476661619032
"7",-7.86466165413534,10,20.2757708465152,0.0520242809259301
"8",-7.84210526315789,10,20.3208398886434,0.0519007743162701
"9",-7.81954887218045,10,20.3659227783751,0.0517771425655852
"10",-7.79699248120301,10,20.4110148082126,0.0516533822553497
"11",-7.77443609022556,10,20.4561111956409,0.0515294902318275
"12",-7.75187969924812,10,20.5012070827134,0.0514054636023616
"13",-7.72932330827068,10,20.546297535667,0.0512812997316742
"14",-7.70676691729323,10,20.5913775445556,0.0511569962381811
"15",-7.68421052631579,10,20.6364420229055,0.0510325509903137
"16",-7.66165413533835,10,20.6814858074049,0.0509079621028583
"17",-7.6390977443609,10,20.7265036576081,0.0507832279333056
"18",-7.61654135338346,10,20.7714902556739,0.0506583470782136
"19",-7.59398496240602,10,20.8164402061306,0.0505333183695852
"20",-7.57142857142857,10,20.8613480356693,0.0504081408712585
"21",-7.54887218045113,10,20.9062081929672,0.0502828138753109
"22",-7.52631578947368,10,20.9510150485395,0.0501573368984794
"23",-7.50375939849624,10,20.9957628946285,0.0500317096785924
"24",-7.4812030075188,10,21.0404459451204,0.0499059321710167
"25",-7.45864661654135,10,21.0850583355006,0.0497800045451216
"26",-7.43609022556391,10,21.1295941228372,0.049653927180753
"27",-7.41353383458647,10,21.1740472858096,0.0495277006647256
"28",-7.39097744360902,10,21.2184117247684,0.0494013257873285
"29",-7.36842105263158,10,21.2626812618304,0.0492748035388442
"30",-7.34586466165414,10,21.3068496410235,0.0491481351060833
"31",-7.32330827067669,10,21.3509105284624,0.0490213218689335
"32",-7.30075187969925,10,21.3948575125642,0.0488943653969217
"33",-7.2781954887218,10,21.4386841043212,0.0487672674457906
"34",-7.25563909774436,10,21.4823837375939,0.0486400299540895
"35",-7.23308270676692,10,21.5259497694723,0.0485126550397789
"36",-7.21052631578947,10,21.5693754806655,0.0483851449968474
"37",-7.18796992481203,10,21.612654075948,0.0482575022919426
"38",-7.16541353383459,10,21.6557786846454,0.0481297295610151
"39",-7.14285714285714,10,21.6987423611787,0.0480018296059749
"40",-7.1203007518797,10,21.7415380856482,0.0478738053913611
"41",-7.09774436090226,10,21.7841587644778,0.0477456600410208
"42",-7.07518796992481,10,21.8265972311025,0.047617396834805
"43",-7.05263157894737,10,21.8688462467146,0.0474890192052702
"44",-7.03007518796993,10,21.9108985010604,0.0473605307343961
"45",-7.00751879699248,10,21.9527466132949,0.0472319351503104
