"","Temperature","Density","fit","se.fit"
"1",-10,-8,0,0.325016796312336
"2",-9.87468671679198,-8,0,0.323096584519092
"3",-9.74937343358396,-8,0,0.321177651004512
"4",-9.62406015037594,-8,0,0.319260018818132
"5",-9.49874686716792,-8,0,0.3173437115508
"6",-9.3734335839599,-8,0,0.315428753350144
"7",-9.24812030075188,-8,0,0.31351516893656
"8",-9.12280701754386,-8,0,0.311602983619732
"9",-8.99749373433584,-8,0,0.309692223315703
"10",-8.87218045112782,-8,0,0.307782914564523
"11",-8.7468671679198,-8,0,0.305875084548492
"12",-8.62155388471178,-8,0,0.303968761111017
"13",-8.49624060150376,-8,0,0.302063972776118
"14",-8.37092731829574,-8,0,0.300160748768592
"15",-8.24561403508772,-8,0,0.29825911903487
"16",-8.1203007518797,-8,0,0.296359114264598
"17",-7.99498746867168,-8,0,0.294460765912953
"18",-7.86967418546366,-8,0,0.292564106223736
"19",-7.74436090225564,-8,0,0.290669168253273
"20",-7.61904761904762,-8,0,0.28877598589514
"21",-7.4937343358396,-8,0,0.286884593905766
"22",-7.36842105263158,-8,0,0.284995027930924
"23",-7.24310776942356,-8,0,0.283107324533161
"24",-7.11779448621554,-8,0,0.281221521220205
"25",-6.99248120300752,-8,0,0.27933765647437
"26",-6.8671679197995,-8,0,0.277455769783015
"27",-6.74185463659148,-8,0,0.275575901670089
"28",-6.61654135338346,-8,0,0.273698093728811
"29",-6.49122807017544,-8,0,0.27182238865552
"30",-6.36591478696742,-8,0,0.269948830284751
"31",-6.2406015037594,-8,0,0.268077463625578
"32",-6.11528822055138,-8,0,0.266208334899279
"33",-5.98997493734336,-8,0,0.264341491578365
"34",-5.86466165413534,-8,0,0.262476982427047
"35",-5.73934837092732,-8,0,0.26061485754317
"36",-5.6140350877193,-8,0,0.258755168401698
"37",-5.48872180451128,-8,0,0.256897967899787
"38",-5.36340852130326,-8,0,0.255043310403535
"39",-5.23809523809524,-8,0,0.25319125179645
"40",-5.11278195488722,-8,0,0.251341849529715
"41",-4.9874686716792,-8,0,0.249495162674325
"42",-4.86215538847118,-8,0,0.247651251975157
"43",-4.73684210526316,-8,0,0.245810179907063
"44",-4.61152882205514,-8,0,0.243972010733051
"45",-4.48621553884712,-8,0,0.242136810564644
"46",-4.3609022556391,-8,0,0.240304647424502
"47",-4.23558897243108,-8,0,0.238475591311385
"48",-4.11027568922306,-8,0,0.236649714267567
"49",-3.98496240601504,-8,0,0.234827090448764
"50",-3.85964912280702,-8,0,0.233007796196712
"51",-3.734335839599,-8,0,0.231191910114454
"52",-3.60902255639098,-8,0,0.229379513144476
"53",-3.48370927318296,-8,0,0.227570688649766
"54",-3.35839598997494,-8,0,0.225765522497935
"55",-3.23308270676692,-8,0,0.223964103148491
"56",-3.1077694235589,-8,0,0.222166521743388
"57",-2.98245614035088,-8,0,0.220372872200976
"58",-2.85714285714286,-8,0,0.218583251313466
"59",-2.73182957393484,-8,0,0.21679775884803
"60",-2.60651629072682,-8,0,0.215016497651684
"61",-2.4812030075188,-8,0,0.213239573760056
"62",-2.35588972431078,-8,0,0.211467096510187
"63",-2.23057644110276,-8,0,0.209699178657505
"64",-2.10526315789474,-8,0,0.207935936497089
"65",-1.97994987468672,-8,0,0.206177489989367
"66",-1.8546365914787,-8,0,0.204423962890397
"67",-1.72932330827068,-8,0,0.202675482886853
"68",-1.60401002506266,-8,0,0.20093218173585
"69",-1.47869674185464,-8,0,0.199194195409765
"70",-1.35338345864662,-8,0,0.197461664246161
"71",-1.2280701754386,-8,0,0.195734733102964
"72",-1.10275689223058,-8,0,0.194013551519009
"73",-0.977443609022558,-8,0,0.19229827388007
"74",-0.852130325814537,-8,0,0.190589059590511
"75",-0.726817042606516,-8,0,0.188886073250627
"76",-0.601503759398497,-8,0,0.187189484839807
"77",-0.476190476190476,-8,0,0.185499469905573
"78",-0.350877192982457,-8,0,0.183816209758579
"79",-0.225563909774436,-8,0,0.182139891673616
"80",-0.100250626566417,-8,0,0.180470709096652
"81",0.0250626566416035,-8,0,0.178808861857922
"82",0.150375939849624,-8,0,0.177154556391044
"83",0.275689223057643,-8,0,0.175508005958119
"84",0.401002506265664,-8,0,0.173869430880726
"85",0.526315789473683,-8,0,0.172239058776706
"86",0.651629072681704,-8,0,0.170617124802548
"87",0.776942355889723,-8,0,0.169003871901198
"88",0.902255639097744,-8,0,0.167399551054983
"89",1.02756892230576,-8,0,0.16580442154336
"90",1.15288220551378,-8,0,0.164218751205068
"91",1.2781954887218,-8,0,0.162642816704215
"92",1.40350877192982,-8,0,0.161076903799753
"93",1.52882205513784,-8,0,0.159521307617679
"94",1.65413533834586,-8,0,0.157976332925216
"95",1.77944862155388,-8,0,0.156442294406111
"96",1.9047619047619,-8,0,0.154919516936063
"97",2.03007518796992,-8,0,0.15340833585716
"98",2.15538847117794,-8,0,0.15190909725006
"99",2.28070175438596,-8,0,0.150422158202502
"100",2.40601503759398,-8,0,0.14894788707254
"101",2.531328320802,-8,0,0.147486663744743
"102",2.65664160401002,-8,0,0.146038879877383
"103",2.78195488721804,-8,0,0.144604939138439
"104",2.90726817042606,-8,0,0.143185257428019
"105",3.03258145363408,-8,0,0.141780263084568
"106",3.1578947368421,-8,0,0.140390397072008
"107",3.28320802005013,-8,0,0.139016113144656
"108",3.40852130325814,-8,0,0.137657877986567
"109",3.53383458646617,-8,0,0.136316171321626
"110",3.65914786967418,-8,0,0.134991485990466
"111",3.7844611528822,-8,0,0.133684327990032
"112",3.90977443609022,-8,0,0.132395216471307
"113",4.03508771929824,-8,0,0.131124683690474
"114",4.16040100250627,-8,0,0.129873274908562
"115",4.28571428571428,-8,0,0.12864154823434
"116",4.41102756892231,-8,0,0.127430074405088
"117",4.53634085213032,-8,0,0.126239436499652
"118",4.66165413533835,-8,0,0.125070229578099
"119",4.78696741854636,-8,0,0.1239230602422
"120",4.91228070175439,-8,0,0.122798546110982
"121",5.03759398496241,-8,0,0.121697315205616
"122",5.16290726817043,-8,0,0.12062000523812
"123",5.28822055137845,-8,0,0.119567262798554
"124",5.41353383458646,-8,0,0.118539742435767
"125",5.53884711779449,-8,0,0.11753810562725
"126",5.6641604010025,-8,0,0.11656301963424
"127",5.78947368421053,-8,0,0.115615156238994
"128",5.91478696741854,-8,0,0.114695190362051
"129",6.04010025062657,-8,0,0.113803798558362
"130",6.16541353383458,-8,0,0.1129416573924
"131",6.29072681704261,-8,0,0.11210944169372
"132",6.41604010025063,-8,0,0.111307822695973
"133",6.54135338345865,-8,0,0.110537466064062
"134",6.66666666666666,-8,0,0.109799029815906
"135",6.79197994987469,-8,0,0.109093162147175
"136",6.91729323308271,-8,0,0.108420499169348
"137",7.04260651629072,-8,0,0.107781662573448
"138",7.16791979949875,-8,0,0.107177257233834
"139",7.29323308270677,-8,0,0.106607868768414
"140",7.41854636591479,-8,0,0.1060740610735
"141",7.5438596491228,-8,0,0.105576373853295
"142",7.66917293233083,-8,0,0.10511532016553
"143",7.79448621553885,-8,0,0.10469138400603
"144",7.91979949874687,-8,0,0.104305017955989
"145",8.04511278195488,-8,0,0.10395664164289
"146",8.17042606516291,-8,0,0.103646664228209
"147",8.29573934837093,-8,0,0.103375438736867
"148",8.42105263157895,-8,0,0.103143178367365
"149",8.54636591478697,-8,0,0.102949948970425
"150",8.67167919799499,-8,0,0.10279566775398
"151",8.79699248120301,-8,0,0.102680103034644
"152",8.92230576441102,-8,0,0.102602875047237
"153",9.04761904761905,-8,0,0.102563457805401
"154",9.17293233082707,-8,0,0.102561181987971
"155",9.29824561403509,-8,0,0.102595238808223
"156",9.42355889724311,-8,0,0.102664684806963
"157",9.54887218045113,-8,0,0.102768447496127
"158",9.67418546365915,-8,0,0.102905331767636
"159",9.79949874686717,-8,0,0.103074026972896
"160",9.92481203007519,-8,0,0.103273114571775
"161",10.0501253132832,-8,0,0.103501076246243
"162",10.1754385964912,-8,0,0.103756302372918
"163",10.3007518796992,-8,0,0.104037100750535
"164",10.4260651629073,-8,0,0.104341705482448
"165",10.5513784461153,-8,0,0.10466828592044
"166",10.6766917293233,-8,0,0.105014955583985
"167",10.8020050125313,-8,0,0.105379780978241
"168",10.9273182957393,-8,0,0.105760790244129
"169",11.0526315789474,-8,0,0.106155981584459
"170",11.1779448621554,-8,0,0.106563331420861
"171",11.3032581453634,-8,0,0.106980802246963
"172",11.4285714285714,-8,0,0.107406350153609
"173",11.5538847117794,-8,0,0.107837932011664
"174",11.6791979949875,-8,0,0.108273512307045
"175",11.8045112781955,-8,0,0.108711069630841
"176",11.9298245614035,-8,0,0.109148602834783
"177",12.0551378446115,-8,0,0.109584136868854
"178",12.1804511278195,-8,0,0.110015728323408
"179",12.3057644110276,-8,0,0.110441470703043
"180",12.4310776942356,-8,0,0.110859499463479
"181",12.5563909774436,-8,0,0.111267996846071
"182",12.6817042606516,-8,0,0.11166519654736
"183",12.8070175438596,-8,0,0.112049388263298
"184",12.9323308270677,-8,0,0.112418922149648
"185",13.0576441102757,-8,0,0.112772213241539
"186",13.1829573934837,-8,0,0.113107745876408
"187",13.3082706766917,-8,0,0.113424078165664
"188",13.4335839598997,-8,0,0.113719846561326
"189",13.5588972431078,-8,0,0.113993770564861
"190",13.6842105263158,-8,0,0.114244657626284
"191",13.8095238095238,-8,0,0.114471408282556
"192",13.9348370927318,-8,0,0.114673021585256
"193",14.0601503759398,-8,0,0.114848600868526
"194",14.1854636591479,-8,0,0.114997359909336
"195",14.3107769423559,-8,0,0.115118629533143
"196",14.4360902255639,-8,0,0.115211864719072
"197",14.5614035087719,-8,0,0.115276652259554
"198",14.6867167919799,-8,0,0.115312719030062
"199",14.812030075188,-8,0,0.115319940924819
"200",14.937343358396,-8,0,0.115298352514061
"201",15.062656641604,-8,0,0.115248157477399
"202",15.187969924812,-8,0,0.115169739865607
"203",15.31328320802,-8,0,0.115063676239631
"204",15.4385964912281,-8,0,0.114930748730112
"205",15.5639097744361,-8,0,0.114771959052884
"206",15.6892230576441,-8,0,0.114588543505047
"207",15.8145363408521,-8,0,0.114382144636907
"208",15.9398496240601,-8,0,0.114155750519474
"209",16.0651629072682,-8,0,0.113912875636233
"210",16.1904761904762,-8,0,0.113656977716882
"211",16.3157894736842,-8,0,0.113391424574065
"212",16.4411027568922,-8,0,0.113119464539342
"213",16.5664160401003,-8,0,0.112844198035747
"214",16.6917293233083,-8,0,0.11256855039675
"215",16.8170426065163,-8,0,0.112295246082537
"216",16.9423558897243,-8,0,0.112026784478837
"217",17.0676691729323,-8,0,0.111765417489938
